m/n,solutions,,,
0.15625,59,,,
0.15625,27,,,
0.15625,26,,,
0.15625,0,,,
0.15625,0,,,
0.15625,29,,,
0.15625,0,,,
0.15625,0,,,
0.15625,0,,,
0.15625,0,,,
0.16796875,0,,,
0.16796875,0,,,
0.16796875,0,,,
0.16796875,73,,,
0.16796875,51,,,
0.16015625,0,,,
0.16015625,0,,,
0.16015625,49,,,
0.16015625,53,,,
0.16015625,48,,,
0.17578125,0,,,
0.17578125,26,,,
0.17578125,0,,,
0.17578125,0,,,
0.17578125,47,,,
0.17578125,31,,,
0.17578125,0,,,
0.17578125,0,,,
0.17578125,0,,,
0.17578125,0,,,
0.171875,0,,,
0.171875,46,,,
0.171875,0,,,
0.171875,43,,,
0.171875,38,,,
0.19921875,21,,,
0.19921875,0,,,
0.19921875,45,,,
0.19921875,43,,,
0.19921875,31,,,
0.18359375,0,,,
0.18359375,0,,,
0.18359375,0,,,
0.18359375,44,,,
0.18359375,0,,,
0.1875,0,,,
0.1875,0,,,
0.1875,0,,,
0.1875,0,,,
0.1875,0,,,
0.1953125,0,,,
0.1953125,0,,,
0.1953125,27,,,
0.1953125,0,,,
0.1953125,0,,,
0.203125,21,,,
0.203125,0,,,
0.203125,39,,,
0.203125,0,,,
0.203125,32,,,
0.19921875,29,,,
0.19921875,37,,,
0.19921875,0,,,
0.19921875,28,,,
0.19921875,0,,,
0.20703125,18,,,
0.20703125,6,,,
0.20703125,0,,,
0.20703125,0,,,
0.20703125,0,,,
0.20703125,32,,,
0.20703125,23,,,
0.20703125,0,,,
0.20703125,0,,,
0.20703125,0,,,
0.21875,21,,,
0.21875,10,,,
0.21875,0,,,
0.21875,0,,,
0.21875,0,,,
0.21875,0,,,
0.21875,0,,,
0.21875,14,,,
0.21875,4,,,
0.21875,31,,,
0.2265625,0,,,
0.2265625,0,,,
0.2265625,31,,,
0.2265625,0,,,
0.2265625,0,,,
0.22265625,24,,,
0.22265625,23,,,
0.22265625,0,,,
0.22265625,0,,,
0.22265625,0,,,
0.2265625,0,,,
0.2265625,0,,,
0.2265625,0,,,
0.2265625,14,,,
0.2265625,0,,,
0.234375,0,,,
0.234375,7,,,
0.234375,9,,,
0.234375,0,,,
0.234375,0,,,
0.23828125,3,,,
0.23828125,0,,,
0.23828125,0,,,
0.23828125,13,,,
0.23828125,6,,,
0.24609375,0,,,
0.24609375,0,,,
0.24609375,0,,,
0.24609375,18,,,
0.24609375,25,,,
0.24609375,8,,,
0.24609375,0,,,
0.24609375,11,,,
0.24609375,2,,,
0.24609375,0,,,
0.25390625,7,,,
0.25390625,0,,,
0.25390625,0,,,
0.25390625,0,,,
0.25390625,9,,,
0.2578125,14,,,
0.2578125,16,,,
0.2578125,6,,,
0.2578125,0,,,
0.2578125,14,,,
0.2578125,13,,,
0.2578125,0,,,
0.2578125,0,,,
0.2578125,0,,,
0.2578125,13,,,
0.25390625,0,,,
0.25390625,0,,,
0.25390625,8,,,
0.25390625,5,,,
0.25390625,11,,,
0.265625,7,,,
0.265625,9,,,
0.265625,0,,,
0.265625,7,,,
0.265625,6,,,
0.265625,11,,,
0.265625,0,,,
0.265625,6,,,
0.265625,0,,,
0.265625,4,,,
0.27734375,10,,,
0.27734375,3,,,
0.27734375,0,,,
0.27734375,3,,,
0.27734375,0,,,
0.27734375,0,,,
0.27734375,0,,,
0.27734375,14,,,
0.27734375,0,,,
0.27734375,0,,,
0.28125,1,,,
0.28125,6,,,
0.28125,6,,,
0.28125,0,,,
0.28125,0,,,
0.28515625,0,,,
0.28515625,7,,,
0.28515625,0,,,
0.28515625,9,,,
0.28515625,0,,,
0.2890625,8,,,
0.2890625,0,,,
0.2890625,5,,,
0.2890625,4,,,
0.2890625,0,,,
0.29296875,3,,,
0.29296875,8,,,
0.29296875,9,,,
0.29296875,8,,,
0.29296875,4,,,
0.3046875,0,,,
0.3046875,0,,,
0.3046875,0,,,
0.3046875,0,,,
0.3046875,4,,,
0.30078125,0,,,
0.30078125,0,,,
0.30078125,0,,,
0.30078125,0,,,
0.30078125,0,,,
0.29296875,0,,,
0.29296875,0,,,
0.29296875,0,,,
0.29296875,0,,,
0.29296875,3,,,
0.30859375,0,,,
0.30859375,1,,,
0.30859375,1,,,
0.30859375,4,,,
0.30859375,0,,,
0.3125,1,,,
0.3125,0,,,
0.3125,0,,,
0.3125,14,,,
0.3125,0,,,
0.31640625,0,,,
0.31640625,0,,,
0.31640625,2,,,
0.31640625,5,,,
0.31640625,1,,,
0.328125,0,,,
0.328125,0,,,
0.328125,0,,,
0.328125,0,,,
0.328125,1,,,
0.3203125,0,,,
0.3203125,7,,,
0.3203125,0,,,
0.3203125,5,,,
0.3203125,4,,,
0.33203125,0,,,
0.33203125,0,,,
0.33203125,0,,,
0.33203125,0,,,
0.33203125,0,,,
0.33203125,2,,,
0.33203125,0,,,
0.33203125,0,,,
0.33203125,3,,,
0.33203125,2,,,
0.33203125,0,,,
0.33203125,0,,,
0.33203125,0,,,
0.33203125,0,,,
0.33203125,0,,,
0.33984375,0,,,
0.33984375,0,,,
0.33984375,0,,,
0.33984375,0,,,
0.33984375,0,,,
0.34375,1,,,
0.34375,0,,,
0.34375,2,,,
0.34375,0,,,
0.34375,0,,,
0.34375,0,,,
0.34375,0,,,
0.34375,0,,,
0.34375,0,,,
0.34375,0,,,
0.35546875,0,,,
0.35546875,0,,,
0.35546875,0,,,
0.35546875,0,,,
0.35546875,0,,,
0.35546875,0,,,
0.35546875,0,,,
0.35546875,1,,,
0.35546875,0,,,
0.35546875,3,,,
0.35546875,1,,,
0.35546875,0,,,
0.35546875,0,,,
0.35546875,0,,,
0.35546875,0,,,
0.36328125,0,,,
0.36328125,0,,,
0.36328125,0,,,
0.36328125,0,,,
0.36328125,0,,,
0.3671875,0,,,
0.3671875,0,,,
0.3671875,0,,,
0.3671875,0,,,
0.3671875,0,,,
0.375,0,,,
0.375,0,,,
0.375,0,,,
0.375,0,,,
0.375,0,,,
0.37890625,2,,,
0.37890625,0,,,
0.37890625,1,,,
0.37890625,3,,,
0.37890625,1,,,
0.375,2,,,
0.375,0,,,
0.375,1,,,
0.375,0,,,
0.375,0,,,
0.3828125,0,,,
0.3828125,0,,,
0.3828125,1,,,
0.3828125,4,,,
0.3828125,0,,,
0.3828125,0,,,
0.3828125,0,,,
0.3828125,0,,,
0.3828125,0,,,
0.3828125,0,,,
0.390625,0,,,
0.390625,0,,,
0.390625,0,,,
0.390625,0,,,
0.390625,0,,,
0.3984375,0,,,
0.3984375,0,,,
0.3984375,0,,,
0.3984375,0,,,
0.3984375,0,,,
0.39453125,0,,,
0.39453125,3,,,
0.39453125,0,,,
0.39453125,1,,,
0.39453125,0,,,
0.40234375,4,,,
0.40234375,2,,,
0.40234375,2,,,
0.40234375,0,,,
0.40234375,0,,,
0.41015625,0,,,
0.41015625,0,,,
0.41015625,0,,,
0.41015625,0,,,
0.41015625,0,,,
0.40625,0,,,
0.40625,1,,,
0.40625,0,,,
0.40625,1,,,
0.40625,0,,,
0.41015625,0,,,
0.41015625,0,,,
0.41015625,0,,,
0.41015625,0,,,
0.41015625,0,,,
